id,org_id,display_name,legal_name,description,website,email,phone,verification_tier,verification_date,logo_url,banner_url,average_rating,total_reviews,total_deals,year_established,employee_count,annual_capacity_mt,esg_certified,iso_certified,metadata,created_at,updated_at
3969643f-066c-4899-9665-45657442ebf6,b978b870-a839-4519-ad50-afd82d3e3762,Legacy Minerals,Legacy Minerals Limited,Leading lithium producer based in Democratic Republic of Congo. Pioneering sustainable mining in Africa. Specializing in technical-grade lithium compounds.,https://www.legacyminerals.com,sales@legacyminerals.com,+327-332-3376,premium,2025-11-22T05:38:30.407Z,https://cdn.lithiumbuy.com/logos/legacy-minerals.png,,4.8,295,1082,2000,1000+,73587,true,true,"{""country"":""Democratic Republic of Congo"",""country_code"":""CD""}",2024-02-15T05:38:30.408Z,2025-12-06T05:38:30.408Z
3926362c-b964-4f16-bb68-8c63ae3ee25f,3562fb18-d2c0-4fcf-abb9-d0089f446aad,Eclipse Holdings,Eclipse Holdings Limited,Leading lithium supplier based in South Africa. Pioneering sustainable mining in Africa. Specializing in technical-grade lithium compounds.,https://www.eclipseholdings.com,sales@eclipseholdings.com,+908-795-5229,premium,2025-04-18T05:38:30.408Z,https://cdn.lithiumbuy.com/logos/eclipse-holdings.png,,4.91,287,779,1992,1000+,113606,true,true,"{""country"":""South Africa"",""country_code"":""ZA""}",2021-02-05T05:38:30.408Z,2025-12-04T05:38:30.408Z
e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,61b85ded-de08-4543-b5b0-64efd1b44ae3,Apex Energy,Apex Energy Limited,Leading lithium producer based in Mali. Pioneering sustainable mining in Africa. Specializing in battery-grade lithium compounds.,https://www.apexenergy.com,sales@apexenergy.com,+127-905-8686,premium,2025-08-07T05:38:30.408Z,https://cdn.lithiumbuy.com/logos/apex-energy.png,,4.76,190,653,1989,1000+,86293,true,true,"{""country"":""Mali"",""country_code"":""ML""}",2021-06-09T05:38:30.408Z,2025-12-28T05:38:30.408Z
15a2f15e-2b3b-4d6c-95c0-45c55b4da187,928e3db3-b5f0-48dc-a124-79dffb60f68d,Diamond Holdings,Diamond Holdings Limited,Leading lithium producer based in Chile. Established global operations. Specializing in battery-grade lithium compounds.,https://www.diamondholdings.com,sales@diamondholdings.com,+889-772-2614,premium,2025-04-13T05:38:30.408Z,https://cdn.lithiumbuy.com/logos/diamond-holdings.png,,4.97,224,1102,1985,1000+,104614,true,true,"{""country"":""Chile"",""country_code"":""CL""}",2022-12-11T05:38:30.408Z,2025-12-12T05:38:30.408Z
0458e690-7a4d-4c4b-a012-50fdc11f13f9,5d40d19a-cef4-4c27-b402-16c9f81e4880,Emerald Group,Emerald Group Limited,Leading lithium manufacturer based in Democratic Republic of Congo. Pioneering sustainable mining in Africa. Specializing in industrial-grade lithium compounds.,https://www.emeraldgroup.com,sales@emeraldgroup.com,+860-712-7824,premium,2025-06-20T05:38:30.408Z,https://cdn.lithiumbuy.com/logos/emerald-group.png,,5,238,662,1995,1000+,82201,true,true,"{""country"":""Democratic Republic of Congo"",""country_code"":""CD""}",2024-06-24T05:38:30.409Z,2025-12-29T05:38:30.409Z
0971e222-5719-489b-af2c-7a9d9a5a1651,26a9f3d9-fea3-4d4a-8357-c37194609ba0,Diamond Group,Diamond Group Limited,Leading lithium producer based in Nigeria. Pioneering sustainable mining in Africa. Specializing in industrial-grade lithium compounds.,https://www.diamondgroup.com,sales@diamondgroup.com,+106-561-2051,verified,2025-08-29T05:38:30.409Z,https://cdn.lithiumbuy.com/logos/diamond-group.png,,4.67,65,266,2001,501-1000,23541,true,true,"{""country"":""Nigeria"",""country_code"":""NG""}",2024-12-03T05:38:30.409Z,2025-12-29T05:38:30.409Z
5663ce32-a0ed-4c94-ac7f-ac4a0f9b179c,05993bfa-d1ac-48e9-8a40-5aedef858071,Pacific Minerals,Pacific Minerals Limited,Leading lithium supplier based in Canada. Established global operations. Specializing in battery-grade lithium compounds.,https://www.pacificminerals.com,sales@pacificminerals.com,+15-456-9950,verified,2025-07-01T05:38:30.409Z,https://cdn.lithiumbuy.com/logos/pacific-minerals.png,,4.5,108,273,2019,501-1000,39989,true,true,"{""country"":""Canada"",""country_code"":""CA""}",2023-04-02T05:38:30.409Z,2025-12-24T05:38:30.409Z
4022a232-e169-44e0-8c38-ebc6e00bb23e,24b2a98f-3749-43c1-a698-bd9d3be0003a,Continental Corporation,Continental Corporation Limited,Leading lithium processor based in South Africa. Pioneering sustainable mining in Africa. Specializing in battery-grade lithium compounds.,https://www.continentalcorporation.com,sales@continentalcorporation.com,+601-546-3331,verified,2025-12-28T05:38:30.409Z,https://cdn.lithiumbuy.com/logos/continental-corporation.png,,4.52,150,640,2007,501-1000,26545,true,true,"{""country"":""South Africa"",""country_code"":""ZA""}",2021-05-22T05:38:30.409Z,2025-12-09T05:38:30.409Z
a303100d-a5a2-46ee-8c2a-db05153285be,31ac4866-db89-4c74-94a5-012de099a8c2,Apex Resources,Apex Resources Limited,Leading lithium processor based in Zimbabwe. Pioneering sustainable mining in Africa. Specializing in technical-grade lithium compounds.,https://www.apexresources.com,sales@apexresources.com,+748-418-4656,verified,2025-08-16T05:38:30.409Z,https://cdn.lithiumbuy.com/logos/apex-resources.png,,4.36,149,696,2013,501-1000,36593,true,true,"{""country"":""Zimbabwe"",""country_code"":""ZW""}",2022-12-18T05:38:30.409Z,2025-12-31T05:38:30.409Z
0993ef4e-0912-4214-88b5-f09012b23d4a,1386f320-f654-4051-a18d-d202e88cfd45,Meridian Energy,Meridian Energy Limited,Leading lithium manufacturer based in Chile. Established global operations. Specializing in industrial-grade lithium compounds.,https://www.meridianenergy.com,sales@meridianenergy.com,+427-699-8885,verified,2025-06-17T05:38:30.409Z,https://cdn.lithiumbuy.com/logos/meridian-energy.png,,4.51,50,167,2006,1000+,59793,true,true,"{""country"":""Chile"",""country_code"":""CL""}",2021-06-03T05:38:30.409Z,2025-12-14T05:38:30.409Z
